Restaurant Name,Restaurant Rating,Restaurant Review Count,Restaurant Website,Restaurant Phone,Restaurant Address,Restaurant Business Hours
Tacos Brunos,5.0,9,no data,(323) 928-8315,"Fresno, CA 93701","['Mon Closed', 'Tue Closed', 'Wed Closed', 'Thu 5:30 PM - 12:00 AM', 'Fri 5:30 PM - 1:00 AM', 'Sat 5:30 PM - 1:00 AM', 'Sun 5:30 PM - 12:00 AM']"
La Mexicana Bakery & Taqueria,4.9,65,no data,(559) 455-9391,"4729 E Belmont Ave Fresno, CA 93702","['Mon 8:00 AM - 8:00 PM', 'Tue 8:00 AM - 8:00 PM', 'Wed 8:00 AM - 9:00 PM', 'Thu 8:00 AM - 9:00 PM', 'Fri 8:00 AM - 9:00 PM', 'Sat 8:00 AM - 9:00 PM', 'Sun 8:00 AM - 9:00 PM']"
2 Amigos Taco Truck,4.8,39,no data,(559) 513-1142,"2588 S Maple Ave Fresno, CA 93725","['Mon 1:00 PM - 9:00 PM', 'Tue 1:00 PM - 9:00 PM', 'Wed 1:00 PM - 9:00 PM', 'Thu 1:00 PM - 9:00 PM', 'Fri 1:00 PM - 9:00 PM', 'Sat 11:00 AM - 9:00 PM', 'Sun 11:00 AM - 6:00 PM']"
Garrafa,4.8,50,garrafafresno.com,no data,"1807 W Olive Ave Fresno, CA 93728","['Mon Closed', 'Tue 9:00 AM - 5:00 PM', 'Wed 9:00 AM - 5:00 PM', 'Thu 9:00 AM - 5:00 PM', 'Fri 9:00 AM - 5:00 PM', 'Sat 9:00 AM - 5:00 PM', 'Sun 9:00 AM - 5:00 PM']"
Las Mananitas,4.7,408,no data,(559) 618-1100,"1329 S Hazelwood Blvd Fresno, CA 93702","['Mon Closed', 'Tue 8:30 AM - 2:00 PM', 'Wed 8:30 AM - 2:00 PM', 'Thu 8:30 AM - 2:00 PM', 'Fri 8:30 AM - 2:00 PM', 'Sat 8:30 AM - 2:30 PM', 'Sun 8:30 AM - 2:00 PM']"
Birrieria El Taco Solito,4.7,54,eltacosolito.com,no data,"4002 E Jensen Ave Fresno, CA 93725","['Mon 8:00 AM - 7:00 PM', 'Tue 8:00 AM - 7:00 PM', 'Wed 8:00 AM - 7:00 PM', 'Thu 8:00 AM - 7:00 PM', 'Fri 8:00 AM - 7:00 PM', 'Sat 7:00 AM - 7:00 PM', 'Sun 7:00 AM - 2:00 PM']"
El Toro Tortilleria,4.6,74,eltorotortillafactory.com,no data,"4507 E Tulare St Fresno, CA 93702","['Mon 8:00 AM - 7:00 PM', 'Tue 8:00 AM - 7:00 PM', 'Wed 8:00 AM - 7:00 PM', 'Thu 8:00 AM - 7:00 PM', 'Fri 8:00 AM - 7:00 PM', 'Sat 8:00 AM - 7:00 PM', 'Sun 8:00 AM - 7:00 PM']"
Robles Mexican Grill and Taqueria,4.6,103,fresnomexicanfood.com,no data,"302 N Fresno St Fresno, CA 93701","['Mon 7:00 AM - 5:00 PM', 'Tue 7:00 AM - 5:00 PM', 'Wed Closed', 'Thu 7:00 AM - 5:00 PM', 'Fri 7:00 AM - 5:00 PM', 'Sat 9:00 AM - 5:00 PM', 'Sun 9:00 AM - 5:00 PM']"
Anthonyâ€™s Tacos,4.6,34,anthonystacos.com,no data,"21 E Shaw Ave Fresno, CA 93721","['Mon Closed', 'Tue Closed', 'Wed 5:00 PM - 9:00 PM', 'Thu Closed', 'Fri Closed', 'Sat 5:00 PM - 9:00 PM', 'Sun Closed']"
Tacos Corona,4.6,90,no data,(559) 408-4046,no data,"['Mon 10:00 AM - 8:00 PM', 'Tue 10:00 AM - 8:00 PM', 'Wed 10:00 AM - 8:00 PM', 'Thu 10:00 AM - 8:00 PM', 'Fri 10:00 AM - 9:00 PM', 'Sat 10:00 AM - 9:00 PM', 'Sun Closed']"
